Pair_12;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_9;detected_targets_25;pd_1.0;false_target_7;far_1.1666666666666667;missed_target_0
Pair_7;detected_targets_25;pd_1.0;false_target_3;far_0.5;missed_target_0
Pair_2;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
Pair_20;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_0;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
Pair_17;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_4;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_10;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_16;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_23;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_21;detected_targets_25;pd_1.0;false_target_15;far_2.5;missed_target_0
Pair_19;detected_targets_25;pd_1.0;false_target_20;far_3.3333333333333335;missed_target_0
Pair_14;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_13;detected_targets_25;pd_1.0;false_target_25;far_4.166666666666667;missed_target_0
Pair_22;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_15;detected_targets_25;pd_1.0;false_target_18;far_3.0;missed_target_0
Pair_8;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_3;detected_targets_25;pd_1.0;false_target_13;far_2.1666666666666665;missed_target_0
Pair_6;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
Pair_18;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_1;detected_targets_25;pd_1.0;false_target_12;far_2.0;missed_target_0
Pair_5;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_11;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
PD_1.0;FAR_0.8680555555555556;threshold_1.25
Finish threshold
Pair_12;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_9;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_7;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
Pair_2;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_20;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_0;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_17;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_4;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_10;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_16;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_23;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_21;detected_targets_25;pd_1.0;false_target_7;far_1.1666666666666667;missed_target_0
Pair_19;detected_targets_25;pd_1.0;false_target_9;far_1.5;missed_target_0
Pair_14;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_13;detected_targets_25;pd_1.0;false_target_10;far_1.6666666666666667;missed_target_0
Pair_22;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_15;detected_targets_25;pd_1.0;false_target_8;far_1.3333333333333333;missed_target_0
Pair_8;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_3;detected_targets_25;pd_1.0;false_target_5;far_0.8333333333333334;missed_target_0
Pair_6;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_18;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_1;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
Pair_5;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_11;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
PD_1.0;FAR_0.3402777777777778;threshold_1.5
Finish threshold
Pair_12;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_9;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_7;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
Pair_2;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_20;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_0;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_17;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_4;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_10;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_16;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_23;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_21;detected_targets_25;pd_1.0;false_target_5;far_0.8333333333333334;missed_target_0
Pair_19;detected_targets_25;pd_1.0;false_target_5;far_0.8333333333333334;missed_target_0
Pair_14;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_13;detected_targets_25;pd_1.0;false_target_4;far_0.6666666666666666;missed_target_0
Pair_22;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_15;detected_targets_25;pd_1.0;false_target_5;far_0.8333333333333334;missed_target_0
Pair_8;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_3;detected_targets_25;pd_1.0;false_target_3;far_0.5;missed_target_0
Pair_6;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_18;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_1;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_5;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_11;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
PD_1.0;FAR_0.19444444444444445;threshold_1.75
Finish threshold
Pair_12;detected_targets_25;pd_1.0;false_target_0;far_0.0;missed_target_0
Pair_9;detected_targets_25;pd_1.0;false_target_1;far_0.16666666666666666;missed_target_0
Pair_7;detected_targets_25;pd_1.0;false_target_2;far_0.3333333333333333;missed_target_0
